id,slug,title,original_url,wp_status,date,new_category,new_category_key,series,series_key,episode,sub_episode,new_tags,old_categories,old_tags,char_count,image_count,review_status,review_reason,featured,excerpt
882,the-story-of-my-elementary-school-days-facing-the-harshness-of-society-2-autobiography-006,社会の厳しさに向き合う小学生時代の話２（放浪記００６）,https://qryptraveller.com/the-story-of-my-elementary-school-days-facing-the-harshness-of-society-2-autobiography-006/,publish,2021-10-20 15:23:14,放浪記,wandering,放浪記,wandering_log,6,,,放浪記,#エホバの証人二世; #小学生; 放浪記,1964,1,Published,,,
965,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-1-autobiography-007,歪みが顕著に現れてくる中学生時代の話１（放浪記００７）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-1-autobiography-007/,publish,2021-10-24 19:21:53,放浪記,wandering,放浪記,wandering_log,7,,,放浪記,,2182,2,Published,,,
972,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-2-autobiography-008,歪みが顕著に現れてくる中学生時代の話２（放浪記００８）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-2-autobiography-008/,publish,2021-10-24 19:31:45,放浪記,wandering,放浪記,wandering_log,8,,,放浪記,,2559,2,Published,,,
976,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-3-autobiography-009,歪みが顕著に現れてくる中学生時代の話３（放浪記００９）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-3-autobiography-009/,publish,2021-10-24 19:34:39,放浪記,wandering,放浪記,wandering_log,9,,,放浪記,,2283,2,Published,,,
980,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-4-autobiography-010,歪みが顕著に現れてくる中学生時代の話４（放浪記０１０）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-4-autobiography-010/,publish,2021-10-24 19:38:11,放浪記,wandering,放浪記,wandering_log,10,,,放浪記,,2361,2,Published,,,
985,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-5-autobiography-011,歪みが顕著に現れてくる中学生時代の話５（放浪記０１１）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced-5-autobiography-011/,publish,2021-10-24 19:45:33,放浪記,wandering,放浪記,wandering_log,11,,,放浪記,,2217,2,Published,,,
989,the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced6-autobiography-012,歪みが顕著に現れてくる中学生時代の話６（放浪記０１２）,https://qryptraveller.com/the-story-of-my-junior-high-school-years-when-the-distortions-became-more-pronounced6-autobiography-012/,publish,2021-10-24 19:48:13,放浪記,wandering,放浪記,wandering_log,12,,,放浪記,,2129,2,Published,,,
1199,high-school-story-of-repressed-anger-explodes-1-autobiography-013,抑圧された怒りが爆発する高校時代の話１（放浪記０１３）,https://qryptraveller.com/high-school-story-of-repressed-anger-explodes-1-autobiography-013/,publish,2021-10-27 14:48:55,放浪記,wandering,放浪記,wandering_log,13,,,放浪記,,2318,2,Published,,,
1204,high-school-story-of-repressed-anger-explodes-2-autobiography-014,抑圧された怒りが爆発する高校時代の話２（放浪記０１４）,https://qryptraveller.com/high-school-story-of-repressed-anger-explodes-2-autobiography-014/,publish,2021-10-27 15:10:13,放浪記,wandering,放浪記,wandering_log,14,,,放浪記,,1957,2,Published,,,
1210,high-school-story-of-repressed-anger-explodes-3-autobiography-015,抑圧された怒りが爆発する高校時代の話３（放浪記０１５）,https://qryptraveller.com/high-school-story-of-repressed-anger-explodes-3-autobiography-015/,publish,2021-10-27 15:22:21,放浪記,wandering,放浪記,wandering_log,15,,,放浪記,,2088,2,Published,,,
1216,high-school-story-of-repressed-anger-explodes-4-autobiography-016,抑圧された怒りが爆発する高校時代の話４（放浪記０１６）,https://qryptraveller.com/high-school-story-of-repressed-anger-explodes-4-autobiography-016/,publish,2021-10-27 15:31:38,放浪記,wandering,放浪記,wandering_log,16,,,放浪記,,1954,2,Published,,,
1223,religion-high-school-family-escape-from-japan-and-head-to-peru-1-autobiography-017,宗教、高校、家庭、日本から脱出し、ペルーに向かう話１（放浪記０１７）,https://qryptraveller.com/religion-high-school-family-escape-from-japan-and-head-to-peru-1-autobiography-017/,publish,2021-10-27 15:41:22,放浪記,wandering,放浪記,wandering_log,17,,,放浪記,,1936,2,Published,,,
1231,religion-high-school-family-escape-from-japan-and-head-to-peru-2-autobiography-018,宗教、高校、家庭、日本から脱出し、ペルーに向かう話２（放浪記０１８）,https://qryptraveller.com/religion-high-school-family-escape-from-japan-and-head-to-peru-2-autobiography-018/,publish,2021-10-28 09:17:46,放浪記,wandering,放浪記,wandering_log,18,,,放浪記,,2143,2,Published,,,
1238,stories-of-life-in-peru-1-autobiography-019,ペルーでの生活の話１（放浪記０１９）,https://qryptraveller.com/stories-of-life-in-peru-1-autobiography-019/,publish,2021-10-28 09:34:04,放浪記,wandering,放浪記,wandering_log,19,,,放浪記,,2176,2,Published,,,
1244,stories-of-life-in-peru-2-autobiography-020,ペルーでの生活の話２（放浪記０２０）,https://qryptraveller.com/stories-of-life-in-peru-2-autobiography-020/,publish,2021-10-28 10:07:49,放浪記,wandering,放浪記,wandering_log,20,,,放浪記,#エホバの証人脱退; #コンプレックス; #ペルー; 放浪記,1967,2,Published,,,
1251,stories-of-life-in-peru-3-autobiography-021,ペルーでの生活の話３（放浪記０２１）,https://qryptraveller.com/stories-of-life-in-peru-3-autobiography-021/,publish,2021-10-28 10:43:57,放浪記,wandering,放浪記,wandering_log,21,,,放浪記,#エホバの証人脱退; #ペルー; #結婚式; 放浪記,1977,2,Published,,,
1258,stories-of-life-in-peru-4-autobiography-022,ペルーでの生活の話４（放浪記０２２）,https://qryptraveller.com/stories-of-life-in-peru-4-autobiography-022/,publish,2021-10-28 10:48:11,放浪記,wandering,放浪記,wandering_log,22,,,放浪記,#エホバの証人脱退; #ペルー; #国際結婚; 放浪記,1766,2,Published,,,
1267,stories-of-life-in-peru-5-autobiography-023,ペルーでの生活の話５（放浪記０２３）,https://qryptraveller.com/stories-of-life-in-peru-5-autobiography-023/,publish,2021-10-28 11:18:14,放浪記,wandering,放浪記,wandering_log,23,,,放浪記,#エホバの証人脱退; #ペルー; 放浪記,1858,2,Published,,,
1272,the-story-of-my-days-as-a-recluse-autobiography-024,引きこもりの日々の話（放浪記０２４）,https://qryptraveller.com/the-story-of-my-days-as-a-recluse-autobiography-024/,publish,2021-10-28 11:42:05,放浪記,wandering,放浪記,wandering_log,24,,,放浪記,#ひきこもり; #エホバの証人脱退; 放浪記,2106,2,Published,,,
1279,the-story-of-the-first-normal-like-life-in-my-life-1-autobiography-025,人生初の普通っぽい暮らしの話１（放浪記０２５）,https://qryptraveller.com/the-story-of-the-first-normal-like-life-in-my-life-1-autobiography-025/,publish,2021-10-28 12:17:01,放浪記,wandering,放浪記,wandering_log,25,,,放浪記,#エホバの証人脱退; #ピザ屋; 放浪記,2115,2,Published,,,
1285,the-story-of-the-first-normal-like-life-in-my-life-2-autobiography-026,人生初の普通っぽい暮らしの話２（放浪記０２６）,https://qryptraveller.com/the-story-of-the-first-normal-like-life-in-my-life-2-autobiography-026/,publish,2021-10-28 12:49:25,放浪記,wandering,放浪記,wandering_log,26,,,放浪記,#エホバの証人脱退; #サブカルチャー; #魚武; 放浪記,1846,2,Published,,,
1291,the-story-of-the-first-normal-like-life-in-my-life-3-autobiography-027,人生初の普通っぽい暮らしの話３（放浪記０２７）,https://qryptraveller.com/the-story-of-the-first-normal-like-life-in-my-life-3-autobiography-027/,publish,2021-10-28 12:55:15,放浪記,wandering,放浪記,wandering_log,27,,,放浪記,#18歳; #エホバの証人脱退; #一人暮らし; #恋; 放浪記,2000,2,Published,,,
1297,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-1-autobiography-028,大阪のドヤ街での一人暮らしの話１（放浪記０２８）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-1-autobiography-028/,publish,2021-10-28 13:02:47,放浪記,wandering,放浪記,wandering_log,28,,,放浪記,,2182,2,Published,,,
1303,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-2-autobiography-029,大阪のドヤ街での一人暮らしの話２（放浪記０２９）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-2-autobiography-029/,publish,2021-10-28 14:06:18,放浪記,wandering,放浪記,wandering_log,29,,,放浪記,#エホバの証人脱退; #サブカルチャー; 放浪記,1998,2,Published,,,
1310,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-3-autobiography-030,大阪のドヤ街での一人暮らしの話３（放浪記０３０）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-3-autobiography-030/,publish,2021-10-28 14:20:36,放浪記,wandering,放浪記,wandering_log,30,,,放浪記,,2394,2,Published,,,
1315,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-4-autobiography-031,大阪のドヤ街での一人暮らしの話４（放浪記０３１）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-4-autobiography-031/,publish,2021-10-28 14:27:18,放浪記,wandering,放浪記,wandering_log,31,,,放浪記,#サンプラー; #作曲; 放浪記,1991,2,Published,,,
1321,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-5-autobiography-032,大阪のドヤ街での一人暮らしの話５（放浪記０３２）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-5-autobiography-032/,publish,2021-10-28 14:41:08,放浪記,wandering,放浪記,wandering_log,32,,,放浪記,#サンプラー; #マッキントッシュ; #作曲; 放浪記; ＃DTM,1844,2,Published,,,
1327,a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-6-autobiography-033,大阪のドヤ街での一人暮らしの話６（放浪記０３３）,https://qryptraveller.com/a-story-of-living-alone-in-a-dodgy-neighborhood-in-osaka-6-autobiography-033/,publish,2021-10-28 14:46:59,放浪記,wandering,放浪記,wandering_log,33,,,放浪記,#クラブ; #テクノ; 放浪記,1968,2,Published,,,
1333,a-story-of-culture-shock-in-thailand-1-autobiography-034,タイ旅行でカルチャーショックをうける話１（放浪記０３４）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-1-autobiography-034/,publish,2021-10-28 14:52:48,放浪記,wandering,放浪記,wandering_log,34,,,放浪記,#タイ; #バイト仲間; #バックパッカー; #高校中退; ＃放浪記,2036,2,Published,,,
1387,the-power-of-true-prayer-which-has-been-intentionally-hidden-from-the-world-is-now-being-revealed,意図的に隠され続けてきた、真の「祈り」の力を解放するための３つの真実,https://qryptraveller.com/the-power-of-true-prayer-which-has-been-intentionally-hidden-from-the-world-is-now-being-revealed/,publish,2021-10-31 07:03:37,エッセイ・その他,essay,,none,,,Qアノン; トランプ,オリジナル記事,Qアノン; トランプ; 呪い; 大統領; 悪魔崇拝; 祈り; 胡散臭い,7871,5,Published,,,"「祈り」ってなんか胡散臭いし、外部の力に頼るのってダサいなんて思っていませんか？
それ、長年かけて知らず知らずの間に思考誘導されてるんですよ。
知ってました？　誘導されていたことに。。。"
1417,the-true-identity-of-qmap-was-bible-2-0,Qmapの正体は聖書２.０だった！,https://qryptraveller.com/the-true-identity-of-qmap-was-bible-2-0/,publish,2021-11-01 00:30:27,エッセイ・その他,essay,,none,,,,オリジナル記事,2.0; Qmap; 人類を光へと導くための道具; 正体; 聖書,3844,4,Published,,,"過激なタイトルで始めてしまいましたが、ガチで話しています。

でも、どの文脈で話すかによって、このタイトルの意味は大きく変わってくるので、何をもとにそんな突拍子ないことを言っているのかを定義させていただきます。"
1466,glossary-of-q-anon-related-terms,Q関連用語解説集,https://qryptraveller.com/glossary-of-q-anon-related-terms/,publish,2021-11-01 10:30:40,エッセイ・その他,essay,,none,,,Qアノン,オリジナル記事,3S政策; greatawakening; MAGA; Q; Qアノン; Qアーミー; WWG1WGA; アドレノクロム; アングロサクソンミッション; カバール; ケムトレイル; ゲマトリア; サタニスト; シンボリズム; ハンドサイン; フェイクMAGA; ロスチャイルド; ロックフェラー; 人口削減計画; 大きなルビーの指輪; 小児性愛; 悪魔崇拝者; 赤い靴,24233,119,Published,,,Qアノンに関する用語をわかる範囲で、出来るだけ中立的な立場で解説していきます。
1534,a-story-of-culture-shock-in-thailand-2-autobiography-035,タイ旅行でカルチャーショックをうける話２（放浪記０３５）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-2-autobiography-035/,publish,2021-11-04 13:50:17,放浪記,wandering,放浪記,wandering_log,35,,,放浪記,#タイ#バンコク; #バックパッカー; #映画オタク; 放浪記,2124,2,Published,,,
1560,a-story-of-culture-shock-in-thailand-3-autobiography-036,タイ旅行でカルチャーショックをうける話３（放浪記０３６）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-3-autobiography-036/,publish,2021-11-04 15:04:19,放浪記,wandering,放浪記,wandering_log,36,,,放浪記,#ゲストハウス; #タイ; #バックパッカー; #バンコク; 放浪記,1994,2,Published,,,
1575,a-story-of-culture-shock-in-thailand-4-autobiography-037,タイ旅行でカルチャーショックをうける話４（放浪記０３７）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-4-autobiography-037/,publish,2021-11-04 15:28:01,放浪記,wandering,放浪記,wandering_log,37,,,放浪記,,2175,2,Published,,,"ビーチに滞在し始めて何日か経った頃に、もう一人の日本人の旅人がやって来た。
 
彼も『満月のタイミング』を狙ってやって来たらしい。
 
 
 
こちらのMさんも、かなり旅慣れているようで、今までに出会ったことのないタイプの人。"
1583,a-story-of-culture-shock-in-thailand-5-autobiography-038,タイ旅行でカルチャーショックをうける話５（放浪記０３８）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-5-autobiography-038/,publish,2021-11-04 17:25:44,放浪記,wandering,放浪記,wandering_log,38,,,放浪記,,1424,0,Published,,,"この記事以降は、限定版と完全版の二手に別れて記事を発信していきます。
 
 
そこにはいくつかの理由があるのですが、せっかくなのでこの放浪記のそもそもの始まりから説明していきます。"
1667,a-story-of-culture-shock-in-thailand-7-autobiography-040,タイ旅行でカルチャーショックをうける話７（放浪記０４０）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-7-autobiography-040/,publish,2022-01-19 23:21:51,放浪記,wandering,放浪記,wandering_log,40,,自伝; 旅行,放浪記,#タイ; #タクシー; #パンガン島; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,2451,0,Published,,,"丘の上に一軒家を見つけたので、バルコニーで少し横にならせてもらおうと思ってドアをノックする。
 
他人の家をノックする事をためらわないのは、エホバの証人の家庭で育ったことの特技かもしれない。"
1692,a-story-of-culture-shock-in-thailand-8-autobiography-041,タイ旅行でカルチャーショックをうける話８（放浪記０４１）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-8-autobiography-041/,publish,2022-01-20 09:56:51,放浪記,wandering,放浪記,wandering_log,41,,自伝; 旅行,放浪記,#タイ; #タクシー; #パンガン島; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,1683,0,Published,,,"道端の砂利の上に横になってどれくらいが経ったのだろうか？
 しばらくの間眠りに落ちていたようだ。
夜は明けかけていて、空は白み始め、ジャングル中の鳥たちが合唱している。"
1697,a-story-of-culture-shock-in-thailand-9-autobiography-042,タイ旅行でカルチャーショックをうける話９（放浪記０４２）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-9-autobiography-042/,publish,2022-01-20 10:17:57,放浪記,wandering,放浪記,wandering_log,42,,自伝; 旅行,放浪記,#タイマッサージ; #バンコク; #剃髪; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,3689,0,Published,,,"この時にゲストハウスにいた日本人と仲良くなった。
 
 
人と気軽に話して友達になるなど、日本ではあり得なかったので、これまた驚きだが、これがタイの魔法だろう。
 
 
彼は金髪のガタイのいい東大生で、自称ストリップ研究家だという。"
1730,a-story-of-culture-shock-in-thailand-10-autobiography-043,タイ旅行でカルチャーショックをうける話１０（放浪記０４３）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-10-autobiography-043/,publish,2022-01-20 10:41:18,放浪記,wandering,放浪記,wandering_log,43,,旅行; 自伝,放浪記,#タイ; #チェンマイ; #山岳ツアー; #象; 放浪記; 旅行記; 私小説; 自叙伝,1814,0,Published,,,"ガイドブックによると、このゲストハウスは山岳民族を象に乗って訪ねるという一泊二日のツアーをやっているらしい。
 
チェックインしながら、ゲストハウスの人にツアーの詳細を尋ねると、色々と写真を見せてくれた。"
1735,a-story-of-culture-shock-in-thailand-11-autobiography-044,タイ旅行でカルチャーショックをうける話１１（放浪記０４４）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-11-autobiography-044/,publish,2022-01-20 11:38:32,放浪記,wandering,放浪記,wandering_log,44,,旅行; 自伝,放浪記,#タイ; #チェンマイ; #山岳ツアー; #象; 放浪記; 旅行記; 私小説; 自叙伝,2637,0,Published,,,"次の日、朝日と鳥たちの鳴き声で目が醒める。
 
山の朝の少し冷たい空気が気持ちいい。
 
 
 
部屋から出ると、すでに朝食が用意されていた。
 
食事を食べ、荷物をまとめ、出発の準備をする。
 
 
 
今日はいよいよ象に乗る日だ。"
1741,a-story-of-culture-shock-in-thailand-12-autobiography-045,タイ旅行でカルチャーショックをうける話１２（放浪記０４５）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-12-autobiography-045/,publish,2022-01-20 11:44:58,放浪記,wandering,放浪記,wandering_log,45,,旅行; 自伝,放浪記,#タイ; #チャイナタウン; #バンコク; #マーケット; 放浪記; 旅行記; 私小説; 自叙伝,1729,0,Published,,,"楽しかった北部山岳地帯の旅も終わり、再びバンコクに帰って来た。
 
残り数日で日本への帰国。
 
 
 
バンコクは相変わらず埃っぽくて蒸し暑い。
 
山岳地帯の快適さとは程遠い。"
1779,a-story-of-cultural-life-in-nishinari-1-autobiography-046,西成での文化人生活の話１（放浪記０４６）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-1-autobiography-046/,publish,2022-01-20 11:56:12,放浪記,wandering,放浪記,wandering_log,46,,自伝; 旅行,放浪記,#ホドロフスキー; #大島渚; #自伝; #西成; 放浪記; 旅行記; 私小説; 自叙伝,2089,0,Published,,,"３週間のタイ旅行も無事に終わり、西成の一人暮らしのワンルームマンションへ帰ってきた。
 
 
 
旅行は無事だったが、無事ではなかったのが貯金だった。
 
ピザ屋のバイトで貯めた貯金は引っ越しの準備やタイ旅行の資金に消えた。
 
ここに住んでいない３週間の間も、家賃は払い続けている。"
1812,a-story-of-cultural-life-in-nishinari-2-autobiography-047,西成での文化人生活の話２（放浪記０４７）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-2-autobiography-047/,publish,2022-01-20 12:12:41,放浪記,wandering,放浪記,wandering_log,47,,自伝; 旅行,放浪記,#大阪; #自伝; 放浪記; 旅行記; 私小説; 自叙伝; ＃天王寺; ＃楽なバイト,1920,0,Published,,,"タイ旅行、特に南の島でのノンビリした時間を経験したことで、もう少しゆったりした暮らしをしたいと考えるようになる。
 
 
 
パンガン島で出会った旅人たちは肩の力を抜いて気楽に過ごしていた。
 
彼らみたいにノホホンと暮らしたい、パンクス的思想だった僕にヒッピー的思想が混じり込んできた。"
1816,a-story-of-cultural-life-in-nishinari-3-autobiography-048,西成での文化人生活の話３（放浪記０４８）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-3-autobiography-048/,publish,2022-01-20 12:19:25,放浪記,wandering,放浪記,wandering_log,48,,自伝; 旅行,放浪記,#コミュニティ; #図書館; #好奇心; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,1833,0,Published,,,"兄の元バンドメンバーのGさんもこのビデオ屋で働いていた。
 
 
 
彼はかなり面白い人で、非常に自由に生きており、社会的常識から逸脱したアーティストだった。"
1823,a-story-of-cultural-life-in-nishinari-4-autobiography-049,西成での文化人生活の話４（放浪記０４９）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-4-autobiography-049/,publish,2022-01-20 12:27:09,放浪記,wandering,放浪記,wandering_log,49,,自伝; 旅行,放浪記,#クラウト・ロック; #シカゴ音響派; #ポスト・ロック; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,2114,0,Published,,,Gさんはミュージシャンだけあって音楽に詳しく、彼の最も得意とする分野が、ジャーマン・プログレやクラウト・ロックなどとも呼ばれる７０年代ドイツのアンダーグラウンドなサイケデリック・ロック・シーンだった。
1828,a-story-of-cultural-life-in-nishinari-5-autobiography-050,西成での文化人生活の話５（放浪記０５０）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-5-autobiography-050/,publish,2022-01-20 14:35:55,放浪記,wandering,放浪記,wandering_log,50,,自伝; 旅行,放浪記,#サンプリング; #ジョンケージ; #テープコラージュ; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,1694,0,Published,,,"僕は色々な音楽的経験を積んでいたが、兄との音楽ユニットも独自の進化を遂げていた。
 
 
 
音楽ユニットの名前は、泉北コミュニティとすることにした。"
1844,a-story-of-cultural-life-in-nishinari-6-autobiography-051,西成での文化人生活の話６（放浪記０５１）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-6-autobiography-051/,publish,2022-01-20 14:42:02,放浪記,wandering,放浪記,wandering_log,51,,,放浪記,,1716,0,Published,,,"兄との音楽ユニットのアイデアはどんどんと進化していき、反著作権主義の思想を込めて活動する、テープコラージュを使った実験音楽家という体裁になって行った。
 
実際には真剣な思想を持っていたわけではないが、そういう設定にすることを楽しんでいた。"
1944,a-story-of-cultural-life-in-nishinari-7-autobiography-052,西成での文化人生活の話７（放浪記０５２）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-7-autobiography-052/,publish,2022-01-20 14:48:06,放浪記,wandering,放浪記,wandering_log,52,,,放浪記,,1720,0,Published,,,"僕たちは時間に余裕のある日を見つけて、朝から中古レコード店巡りをしていた。
 
 
 
よく行っていたのは大阪梅田の近くの電車の高架下にある巨大な中古レコードショップだった。"
1949,a-story-of-cultural-life-in-nishinari-8-autobiography-053,西成での文化人生活の話８（放浪記０５３）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-8-autobiography-053/,publish,2022-01-20 14:59:58,放浪記,wandering,放浪記,wandering_log,53,,,放浪記,,2105,0,Published,,,"このころの僕は音源収集という物質欲に激しくとらわれていた。
 
レコードを収集したり、ツタヤでCDを借りるだけではなく、借りたCDをMDに録音していて、コレクションに加えていた。"
1968,a-story-of-cultural-life-in-nishinari-9-autobiography-054,西成での文化人生活の話９（放浪記０５４）,https://qryptraveller.com/a-story-of-cultural-life-in-nishinari-9-autobiography-054/,publish,2022-01-20 15:08:01,放浪記,wandering,放浪記,wandering_log,54,,,放浪記,,1653,0,Published,,,住んでいる部屋の窓ガラスを全部アルミニウムホイルで覆って外の光を遮断し、部屋を映画鑑賞用に改造するほどの熱の入れようで、昼の光を浴びる健康的な生活よりも、映画を集中してみることのできる暗闇を優先していた。
3246,a-story-of-culture-shock-in-thailand-6-autobiography-039,タイ旅行でカルチャーショックをうける話６（放浪記０３９）,https://qryptraveller.com/a-story-of-culture-shock-in-thailand-6-autobiography-039/,publish,2021-11-28 13:12:41,放浪記,wandering,放浪記,wandering_log,39,,自伝; 旅行,放浪記,#タイ; #テクノ; #パンガン島; #レイブ; #満月; #自伝; 放浪記; 旅行記; 私小説; 自叙伝,4922,0,Published,,,"僕たちがパンガン島に来たのは、何もビーチでのバカンスだけを求めて来たのではなかった。
もちろん言うまでもなく、ビーチバカンスを最高に楽しんだのだが、島に来た一番の目的は毎月満月の夜に開催されると言うフルムーン・パーティーに参加するためだった。"
